,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
19022,989,52468,406,b'GALAXY',b'STARBURST',0.06218702,348.1216,83.60079,83.52888,86.29073,14.48982,70.68723,50.26015,-47.58921,-11.97555
19023,990,52465,300,b'GALAXY',b'STARFORMING',0.03290415,235.2355,76.19605,144.6764,15.76143,12.6314,31.69019,18.55651,-24.93971,-1.650402
19024,993,52710,530,b'GALAXY',b'STARBURST',0.04669431,404.3185,123.8191,66.12767,120.8763,10.01855,89.80748,64.72656,-38.29073,-11.56277
19025,994,52725,354,b'GALAXY',b'STARFORMING',0.02930892,447.9814,119.4124,96.28954,118.2559,13.78516,93.85973,64.02768,-36.46962,-9.752861
19026,994,52725,581,b'GALAXY',b'STARBURST',0.07976686,566.3737,128.9822,39.86389,230.0156,13.86744,97.36997,83.48421,-47.89731,-19.65614
19027,817,52381,178,b'GALAXY',b'STARBURST',0.03396014,1061.905,291.3263,103.2025,360.6591,19.64618,203.2676,143.1606,-46.41805,-15.74083
19028,818,52395,74,b'GALAXY',b'STARFORMING',0.03026018,234.7931,58.25044,27.0397,77.69131,10.99267,53.86694,40.40571,-20.66188,-6.738812
19029,818,52395,460,b'GALAXY',b'STARBURST',0.1689584,780.3431,177.8302,65.12408,298.8448,16.67262,130.0349,92.44789,-78.53918,-30.04548
19030,818,52395,461,b'GALAXY',b'STARBURST',0.06220793,498.663,137.6793,74.52251,167.4651,13.92751,96.81216,70.0743,-42.14236,-14.36144
19031,820,52438,26,b'GALAXY',b'STARBURST',0.1304996,730.54,156.112,49.14365,254.4148,16.07548,109.6958,81.4791,-45.90541,-15.95956
19032,820,52438,246,b'GALAXY',b'STARFORMING',0.02992312,186.3661,52.96341,63.41449,33.37648,7.733603,43.49086,26.75486,-23.20251,-4.397923
19033,820,52438,438,b'GALAXY',b'STARBURST',0.03013483,1048.989,306.1066,222.2084,323.6567,12.39332,177.0092,122.9174,-52.28954,-16.03995
19034,820,52433,517,b'GALAXY',b'STARFORMING',0.1336592,284.055,76.20963,39.03648,75.56583,9.078317,54.73761,47.12132,-30.73899,-8.255578
19035,827,52312,38,b'GALAXY',b'STARFORMING',0.08677132,475.5076,135.5142,124.6852,132.6512,19.35764,97.12999,64.61918,-37.56161,-10.78406
19036,827,52312,249,b'GALAXY',b'STARBURST',0.0630137,677.1241,208.455,332.0218,99.91792,17.97064,112.1991,78.28182,-92.28821,-14.80423
19037,828,52317,156,b'GALAXY',b'STARBURST',0.06153674,846.7665,235.1287,216.3958,227.5265,23.32024,146.4018,107.0981,-74.8873,-20.40088
19038,828,52317,321,b'GALAXY',b'STARBURST',0.02934794,460.6682,149.9188,429.0764,36.17609,12.36557,64.11181,45.6777,-44.14171,-3.824123
19039,828,52317,418,b'GALAXY',b'STARBURST',0.0555966,379.112,109.3364,207.0842,41.28006,13.53187,70.58098,48.46767,-42.98664,-4.739229
19040,828,52317,425,b'GALAXY',b'STARFORMING',0.09878875,595.5447,137.042,84.10153,226.8187,23.54581,114.8174,82.30589,-28.41427,-10.64217
19041,828,52317,548,b'GALAXY',b'AGN BROADLINE',0.1322344,110.5805,33.18097,224.3357,148.4908,22.27071,51.2006,40.48661,-9.883587,-12.08068
19042,829,52296,187,b'GALAXY',b'STARFORMING',0.09804504,310.6424,67.43077,43.99271,99.52337,9.785271,64.34566,44.1807,-34.17439,-10.91873
19043,830,52293,238,b'GALAXY',b'STARFORMING',0.1067388,216.6595,59.88121,40.36787,52.81301,8.820404,48.69701,32.47743,-36.49545,-8.394993
19044,830,52293,593,b'GALAXY',b'STARBURST',0.1523994,362.1048,72.61931,30.01615,127.3663,13.03136,64.5047,40.50057,-43.878,-15.15787
19045,831,52294,420,b'GALAXY',b'STARBURST',0.05418491,303.6825,97.81956,148.4725,49.39463,12.58131,64.39612,47.42603,-49.45686,-6.333594
